pv_number_original,pressure_level,effective_thickness,mobility_ratio,fingering_index,oil_viscosity,pressure_viscosity_ratio,formation_temperature,effective_thickness_log,gravity_number,pv_number
0.00604,-1.0734036276055416,-0.6836191475486363,36.96502201332667,18.482511006663334,1.8482511006663334,-0.07135213712571964,0.4165423485690073,2.0014800002101243,0.2711736294691546,0.006021832318494234
0.0417,-1.0734036276055416,-0.6836191475486363,38.485137330022425,19.242568665011213,1.9242568665011215,-0.06853381597504597,0.4165423485690073,2.0014800002101243,0.26046260655905906,0.04085399400826605
0.01268,-0.2737350111266226,-0.8517232008337418,-8.07599482036871,-4.037997410184355,-0.4037997410184355,2.491753227783743,-0.3977104566233551,1.6863989535702288,-52.909318177946574,0.01260028197573843
0.01807,-0.2737350111266226,-0.8517232008337418,-8.07599482036871,-4.037997410184355,-0.4037997410184355,2.491753227783743,-0.3977104566233551,1.6863989535702288,-52.909318177946574,0.017908678043292253
0.00779,-0.7257216204407941,-0.5323254995920416,-8.07599482036871,-4.037997410184355,-0.4037997410184355,2.5258801551844203,-0.3977104566233551,2.2192034840549946,-33.06823062302321,0.0077598146114400985
0.01282,-1.1777082297549657,-0.5155150942635309,-9.428897452227936,-4.714448726113968,-0.47144487261139684,2.588917279898592,-0.35485504582375704,2.2407096892759584,-4.86594296680967,0.012738519448187649
0.01429,-1.1777082297549657,-0.5155150942635309,-9.428897452227936,-4.714448726113968,-0.47144487261139684,2.588917279898592,-0.35485504582375704,2.2407096892759584,-4.86594296680967,0.014188860335142333
0.07825,-0.9690990254561173,-0.8181023901767207,-9.428897452227936,-4.714448726113968,-0.47144487261139684,2.536952417562593,-0.35485504582375704,1.7578579175523736,-7.722062100427252,0.07533935654581546
0.00407,-0.7952580218737436,-0.8601284034979971,2.8384331535068497,1.4192165767534248,0.14192165767534248,-3.410639274722893,-0.05486717022657091,1.667706820558076,-47.76899158006592,0.004061739954671292
0.00835,-0.7952580218737436,-0.8601284034979971,2.8384331535068497,1.4192165767534248,0.14192165767534248,-3.410639274722893,-0.05486717022657091,1.667706820558076,-47.76899158006592,0.008315331603713743
0.00835,-0.7952580218737436,-0.8601284034979971,2.8384331535068497,1.4192165767534248,0.14192165767534248,-3.410639274722893,-0.05486717022657091,1.667706820558076,-47.76899158006592,0.008315331603713743
0.0246,-0.7952580218737436,-0.8601284034979971,2.8384331535068497,1.4192165767534248,0.14192165767534248,-3.410639274722893,-0.05486717022657091,1.667706820558076,-47.76899158006592,0.024302292522964862
0.00251,-1.0734036276055416,-0.9862064434618262,24.287260272084026,12.143630136042013,1.2143630136042014,0.04270765226169566,0.24512070537061523,1.33500106673234,-0.03312902175709176,0.0025068552111807353
0.00251,-1.0734036276055416,-0.9862064434618262,24.287260272084026,12.143630136042013,1.2143630136042014,0.04270765226169566,0.24512070537061523,1.33500106673234,-0.03312902175709176,0.0025068552111807353
0.00579,-1.0734036276055416,-0.9862064434618262,24.287260272084026,12.143630136042013,1.2143630136042014,0.04270765226169566,0.24512070537061523,1.33500106673234,-0.03312902175709176,0.005773302371841867
0.00733,0.38686080248639715,0.19052192953391187,35.90094129163963,17.950470645819816,1.7950470645819816,0.0365689786333864,0.11655447297182117,2.8791984572980396,-0.050203749535369206,0.007303266110120011
0.02595,0.38686080248639715,0.19052192953391187,35.90094129163963,17.950470645819816,1.7950470645819816,0.0365689786333864,0.11655447297182117,2.8791984572980396,-0.050203749535369206,0.02561901261761954
0.00302,0.6650064082181952,-0.49029948627076514,35.90094129163963,17.950470645819816,1.7950470645819816,0.0365689786333864,0.11655447297182117,2.272125885509337,0.12919705708563262,0.0030154489604573586
0.00806,0.6650064082181952,-0.49029948627076514,35.90094129163963,17.950470645819816,1.7950470645819816,0.0365689786333864,0.11655447297182117,2.272125885509337,0.12919705708563262,0.008027691687229029
0.00386,0.38686080248639715,0.14009071354838012,35.90094129163963,17.950470645819816,1.7950470645819816,0.0365689786333864,0.11655447297182117,2.8449093838194073,-0.036914800896776456,0.0038525693154899798
0.01034,0.38686080248639715,0.14009071354838012,35.90094129163963,17.950470645819816,1.7950470645819816,0.0365689786333864,0.11655447297182117,2.8449093838194073,-0.036914800896776456,0.010286907868135579
0.01034,0.38686080248639715,0.14009071354838012,35.90094129163963,17.950470645819816,1.7950470645819816,0.0365689786333864,0.11655447297182117,2.8449093838194073,-0.036914800896776456,0.010286907868135579
0.00769,-1.4906220362032383,0.31659996949774094,4.28254270436782,2.14127135218391,0.21412713521839105,0.6783978279601192,0.24512070537061523,2.9601050959108397,-6.731954764593106,0.007660582666611017
0.00382,-1.4906220362032383,0.31659996949774094,4.28254270436782,2.14127135218391,0.21412713521839105,0.6783978279601192,0.24512070537061523,2.9601050959108397,-6.731954764593106,0.0038127223279169676
0.00796,-1.4906220362032383,0.31659996949774094,4.28254270436782,2.14127135218391,0.21412713521839105,0.6783978279601192,0.24512070537061523,2.9601050959108397,-6.731954764593106,0.007928486322121526
0.00943,-1.4906220362032383,0.31659996949774094,4.28254270436782,2.14127135218391,0.21412713521839105,0.6783978279601192,0.24512070537061523,2.9601050959108397,-6.731954764593106,0.009385815108490419
0.01752,-0.030357606111299607,0.19892713219816696,-14.948436167150243,-7.4742180835751215,-0.7474218083575122,-0.19435261563841846,0.37368693776940926,2.884800712846709,1.926594402290801,0.017368294161092
0.00257,-0.37803961327604685,-0.5155150942635309,2.0023697293241804,1.0011848646620902,0.10011848646620902,9.311765591648374,0.8450964565649874,2.2407096892759584,-31.35552533672735,0.002566703197313866
