formation_temperature,formation_pressure,pre_injection_pressure,pressure_level,permeability,oil_viscosity,oil_density,effective_thickness,well_spacing,porosity,pre_injection_oil_saturation,pv_number,block_EAST VACUUM,block_FORD GERALDINE,block_GARBER,block_LITTLE CREEK,block_LITTLE KNIFE,block_MALJAMAR,block_NORTH COLES LEVEE,block_NORTH CROSS,block_NORTHEAST PURDY,block_Permian Basin（美国）,block_QUARANTINE BAY,block_RANGELY,block_SACROC (17 PATTERN),block_SACROC (4 PATTERN),block_SLAUGHTER ESTATE,block_SOUTH WELCH,block_TWOFREDS,block_WEEKS ISLAND,block_WERTZ,block_WEST SUSSEX,block_Weyburn（加拿大）,block_唐5块,block_天95块,block_富-14,block_崔9块,block_庄13块,block_树101,block_濮1-1井组,block_联38块,block_腰英台,block_花26块,block_花32块,block_芳-48,block_草舍,block_邵23块,block_邵24块,block_马35块,block_马38块,block_马3块,block_高 89-4,block_黄3,block_黑59,injection_well_fracturing_是,permeability_log,oil_density_log,effective_thickness_log,pv_number_original,mobility_ratio,gravity_number,fingering_index,pressure_diffusivity,phase_transition_index,injection_intensity_ratio,displacement_efficiency,reservoir_energy,co2_solubility_factor,pressure_difference,co2_oil_mobility_contrast,displacement_front_stability,reservoir_storage_coeff,formation_temperature_formation_pressure_interaction,formation_temperature_permeability_interaction,formation_temperature_porosity_interaction,formation_temperature_well_spacing_interaction,formation_temperature_oil_viscosity_interaction,formation_temperature_effective_thickness_interaction,formation_pressure_permeability_interaction,formation_pressure_porosity_interaction,formation_pressure_well_spacing_interaction,formation_pressure_oil_viscosity_interaction,formation_pressure_effective_thickness_interaction,permeability_porosity_interaction,permeability_well_spacing_interaction,permeability_oil_viscosity_interaction,permeability_effective_thickness_interaction,porosity_well_spacing_interaction,porosity_oil_viscosity_interaction,porosity_effective_thickness_interaction,well_spacing_oil_viscosity_interaction,well_spacing_effective_thickness_interaction,oil_viscosity_effective_thickness_interaction,formation_temperature_squared,formation_temperature_log_abs,formation_pressure_squared,formation_pressure_log_abs,permeability_squared,permeability_log_abs,porosity_squared,porosity_log_abs,well_spacing_squared,well_spacing_log_abs,oil_viscosity_squared,oil_viscosity_log_abs,effective_thickness_squared,effective_thickness_log_abs,gravity_viscous_ratio,perm_porosity_ratio,spacing_thickness_ratio,pressure_visc_temp_interaction,injection_efficiency,pressure_response_ratio,flow_capacity,diffusion_time_scale,combined_stability_index
0.4165423485690073,-0.13187666597750647,-0.971935869660888,-1.0734036276055416,-0.5134884741865917,1.8482511006663334,0.7455440654352806,-0.6836191475486363,0.7783310880398827,-0.08645423472132255,0.4527693931457457,0.006021832318494234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8678989020441064,0.6284486466210086,2.0014800002101243,0.00604,36.96502193939662,0.2711736294544827,18.48251096969831,7.047645775145386e-08,-0.0044758222859012705,0.10188920402327946,0.01771556626634647,-0.05970971802471981,-0.0012915845962594634,0.8400592036833815,36.96502193939662,-0.35694832544927063,5.130583305608158e-07,-0.054932216167721044,-0.213889695000799,-0.03601184997455591,0.3242078593764035,0.7698748542168072,-0.2847563252466517,0.0677171479936046,0.011401296234684796,-0.1026437089173448,-0.24374119304513273,0.09015341397709922,0.04439325307402137,-0.39966404280958917,-0.9490556375948442,0.35103055299948777,-0.06729001857630239,-0.15978913448094995,0.059101770242160234,1.4385512901525381,-0.5320820349164272,-1.2634998418933476,0.17350752815138437,-0.8757671453075074,0.017391455029342813,-2.0258881418268135,0.2636704131224741,-0.6665276954611621,0.007474334701249533,-2.4481400834218623,0.6057992826093477,-0.25060328229674267,3.4160321311143127,0.6142398409729978,0.4673351388951241,-0.3803543182607698,0.2711736294544827,5.939425366909072,-1.1385448914716987,-0.10152852899403138,0.6051633229900399,8.244830361683494,-0.35694832544927063,0.1885147338691856,29.07944365968319
0.4165423485690073,-0.13187666597750647,-0.971935869660888,-1.0734036276055416,-0.5134884741865917,1.9242568665011215,0.7455440654352806,-0.6836191475486363,-0.17650140666781902,-0.08645423472132255,0.4527693931457457,0.04085399400826605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8678989020441064,0.6284486466210086,2.0014800002101243,0.0417,38.48513725305215,0.2604626065455233,19.242568626526076,6.76927249974744e-08,-0.0044758222859012705,0.6912482298601955,0.017027738353686643,-0.05970971802471981,-0.0012915845962594634,0.8400592036833815,38.48513725305215,1.5118875269835548,5.130583305608158e-07,-0.054932216167721044,-0.213889695000799,-0.03601184997455591,-0.07352031045914678,0.8015344744224159,-0.2847563252466517,0.0677171479936046,0.011401296234684796,0.023276417051692002,-0.25376458003849167,0.09015341397709922,0.04439325307402137,0.09063143800164551,-0.988083722322733,0.35103055299948777,0.01525929404070323,-0.1663601548006046,0.059101770242160234,-0.3396340437276576,0.12065974116738963,-1.3154588387421067,0.17350752815138437,-0.8757671453075074,0.017391455029342813,-2.0258881418268135,0.2636704131224741,-0.6665276954611621,0.007474334701249533,-2.4481400834218623,0.03115274655571883,-1.7344264328512013,3.702764488276715,0.6545398498297799,0.4673351388951241,-0.3803543182607698,0.2604626065455233,5.939425366909072,0.25818675109751876,-0.10570369415286114,4.105617271262639,1.2152786325858007,1.5118875269835548,0.010092876473405373,30.532549758478066
-0.3977104566233551,-1.0061693080609262,-0.6960416649720713,-0.2737350111266226,2.896114152674507,-0.4037997410184355,-0.28290716290694884,-0.8517232008337418,-0.21990288369998728,0.14820247060991446,0.3753816648063044,0.01260028197573843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010301905195018,0.5855619698800079,1.6863989535702288,0.01268,-8.07599480421672,-52.90931819104944,-4.03799740210836,-1.0613409931441803e-06,-0.1491254221897268,-0.09982201740263699,-0.08997667015914022,-0.37769750993691786,-0.010263777728303563,-0.3101276430888549,-8.07599480421672,32.61510009053172,-6.710254978792382e-06,0.4001640549493162,-1.1518148820935392,-0.058941672258978436,0.0874576762891145,0.1605953793848345,0.338739223120293,-2.9139811730619645,-0.1491167773064974,0.22125953233301854,0.40629090601570045,0.8569777436423233,0.42921127259470093,-0.6368638536974693,-1.1694501448097918,-2.466687616095831,-0.032590150658582805,-0.059844119250575756,-0.12622748263934488,0.08879672748726201,0.18729638797752324,0.34392560791605786,0.1581736073075576,-0.922031034372488,1.012376676483803,0.006150355788280582,8.387477185321579,1.0633698911066078,0.021963972294882558,-1.9091758954769578,0.04835727825957013,-1.514569267819423,0.1630542308465556,-0.9068362144645875,0.7254324108384744,-0.1604936865888356,52.90931819104944,19.541605067726866,0.2581858560510569,-0.16158614175342087,-1.9506824411460906,3.1068060080234647,32.61510009053172,-0.0009992350349956355,0.1555789034734276
-0.3977104566233551,-1.0061693080609262,-0.6960416649720713,-0.2737350111266226,2.896114152674507,-0.4037997410184355,-0.28290716290694884,-0.8517232008337418,-0.7407206080860065,0.14820247060991446,0.3753816648063044,0.017908678043292253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010301905195018,0.5855619698800079,1.6863989535702288,0.01807,-8.07599480421672,-52.90931819104944,-4.03799740210836,-1.0613409931441803e-06,-0.1491254221897268,-0.1418762194955543,-0.08997667015914022,-0.37769750993691786,-0.010263777728303563,-0.3101276430888549,-8.07599480421672,9.682671821850576,-6.710254978792382e-06,0.4001640549493162,-1.1518148820935392,-0.058941672258978436,0.2945923312722149,0.1605953793848345,0.338739223120293,-2.9139811730619645,-0.1491167773064974,0.7452903417043656,0.40629090601570045,0.8569777436423233,0.42921127259470093,-2.14521143625555,-1.1694501448097918,-2.466687616095831,-0.10977662415002434,-0.059844119250575756,-0.12622748263934488,0.2991027897121475,0.630888927242529,0.34392560791605786,0.1581736073075576,-0.922031034372488,1.012376676483803,0.006150355788280582,8.387477185321579,1.0633698911066078,0.021963972294882558,-1.9091758954769578,0.5486670192433032,-0.3001317719035873,0.1630542308465556,-0.9068362144645875,0.7254324108384744,-0.1604936865888356,52.90931819104944,19.541605067726866,0.8696729259551591,-0.16158614175342087,-2.772489049884253,2.1859029258752067,9.682671821850576,-0.011337431052915644,0.1555789034734276
-0.3977104566233551,-1.0199497525070746,-0.9857305798953288,-0.7257216204407941,2.896114152674507,-0.4037997410184355,-0.28290716290694884,-0.5323254995920416,-1.0184900610918832,0.14820247060991446,0.3753816648063044,0.0077598146114400985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010301905195018,0.5855619698800079,2.2192034840549946,0.00779,-8.07599480421672,-33.06823063121248,-4.03799740210836,-1.0613409931441803e-06,-0.1509926910848436,-0.09836002524647247,-0.08997667015914022,-0.38287043611488386,-0.010404349913977845,-0.034219172611745896,-8.07599480421672,7.041948501515411,-6.802158294878367e-06,0.40564468180246666,-1.1518148820935392,-0.058941672258978436,0.40506414726320167,0.1605953793848345,0.21171141751500647,-2.9538909132525997,-0.15115907321951924,1.0388086857415817,0.41185544591417417,0.5429452615621077,0.42921127259470093,-2.9496634802865263,-1.1694501448097918,-1.541675413198039,-0.1509427433454598,-0.059844119250575756,-0.07889195420819757,0.411266022898753,0.5421682306002656,0.2149528988727757,0.1581736073075576,-0.922031034372488,1.0402974976392427,0.019753363834789293,8.387477185321579,1.0633698911066078,0.021963972294882558,-1.9091758954769578,1.037322004542948,0.01832119825898865,0.1630542308465556,-0.9068362144645875,0.2833704375159166,-0.6305001354006678,33.06823063121248,19.541605067726866,1.913284375938692,-0.16379921745734172,-1.922112767818209,0.3478971519251702,7.041948501515411,-0.021434797962519358,0.2518378671118897
-0.35485504582375704,-1.2205317772232358,-1.3168036255219089,-1.1777082297549657,0.4551632732254018,-0.47144487261139684,-0.3965987218215287,-0.5155150942635309,-0.39350879182866033,1.673471055262955,0.9342930361467146,0.012738519448187649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01096295328305,0.5807061012141959,2.2407096892759584,0.01282,-9.42889743337014,-4.8659429678418045,-4.71444871668507,-1.2652571999673568e-08,-0.17679383973936336,-0.01476588098019058,-0.07608412647312349,-1.1403343398554424,-0.01242380626394668,0.09627184829867308,-9.42889743337014,2.453476234094019,-9.191360705452824e-05,0.43311185973590294,-0.1615169841776912,-0.5938396480000669,0.13963858035641052,0.16729459187389253,0.18293313239772369,-0.5555412387965449,-2.0425246012117384,0.48028998504360315,0.5754134482311701,0.6292025541868713,0.7617025631614539,-0.17911074973170626,-0.21458439136313595,-0.2346435377020903,-0.6585255731167587,-0.7889493484673037,-0.8626995888011728,0.18551770223512745,0.20285972191308,0.24303694794432257,0.1259221035465807,-1.0360458945159146,1.4896978192117105,0.19928664674564492,0.20717360529326176,-0.7870990821460395,2.8005053728029083,0.5148999455907495,0.15484916924645192,-0.9326518687347288,0.2222602679115762,-0.7519531029140939,0.2657558124135372,-0.6625886951322049,4.8659429678418045,0.2719875385754327,0.7633312705754297,-0.20418836553967792,-0.004016135622699833,-6.519885205618055,2.453476234094019,-0.2684051160260287,2.4389644420010423
-0.35485504582375704,-1.2205317772232358,-1.3168036255219089,-1.1777082297549657,0.4551632732254018,-0.47144487261139684,-0.3965987218215287,-0.5155150942635309,-0.9143265162146795,1.673471055262955,0.9342930361467146,0.014188860335142333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01096295328305,0.5807061012141959,2.2407096892759584,0.01429,-9.42889743337014,-4.8659429678418045,-4.71444871668507,-1.2652571999673568e-08,-0.17679383973936336,-0.016447046597951896,-0.07608412647312349,-1.1403343398554424,-0.01242380626394668,0.09627184829867308,-9.42889743337014,1.0559296393546,-9.191360705452824e-05,0.43311185973590294,-0.1615169841776912,-0.5938396480000669,0.3244533778092362,0.16729459187389253,0.18293313239772369,-0.5555412387965449,-2.0425246012117384,1.1159645677978325,0.5754134482311701,0.6292025541868713,0.7617025631614539,-0.4161678499170519,-0.21458439136313595,-0.2346435377020903,-1.530098959944681,-0.7889493484673037,-0.8626995888011728,0.43105454796205184,0.47134912019405634,0.24303694794432257,0.1259221035465807,-1.0360458945159146,1.4896978192117105,0.19928664674564492,0.20717360529326176,-0.7870990821460395,2.8005053728029083,0.5148999455907495,0.8359929782532727,-0.08956753257564123,0.2222602679115762,-0.7519531029140939,0.2657558124135372,-0.6625886951322049,4.8659429678418045,0.2719875385754327,1.773617351977357,-0.20418836553967792,-0.00447339172101238,-5.853442945556306,1.0559296393546,-1.4490538981703724,2.4389644420010423
-0.35485504582375704,-1.1960332093189718,-1.1926512334119412,-0.9690990254561173,0.4551632732254018,-0.47144487261139684,-0.3965987218215287,-0.8181023901767207,-0.21990288369998728,1.673471055262955,0.9342930361467146,0.07533935654581546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01096295328305,0.5807061012141959,1.7578579175523736,0.07825,-9.42889743337014,-7.722062102065208,-4.71444871668507,-1.2652571999673568e-08,-0.1734742505924891,-0.05502955997106891,-0.07608412647312349,-1.117445498466921,-0.012174435074218903,-0.003381975907030599,-9.42889743337014,4.390412952335551,-9.006871306178515e-05,0.42441841929961893,-0.1615169841776912,-0.5938396480000669,0.0780336478721353,0.16729459187389253,0.2903077611546854,-0.5443903904399053,-2.0015269569285588,0.2630111517301924,0.5638637240063828,0.978477627274585,0.7617025631614539,-0.10009171633659107,-0.21458439136313595,-0.372370161746361,-0.3680011108407846,-0.7889493484673037,-1.3690706702021826,0.10367208699281932,0.17990307476171302,0.38569017711994336,0.1259221035465807,-1.0360458945159146,1.4304954377938395,0.17901042213205118,0.20717360529326176,-0.7870990821460395,2.8005053728029083,0.5148999455907495,0.04835727825957013,-1.514569267819423,0.2222602679115762,-0.7519531029140939,0.6692915208128634,-0.20076777884748742,7.722062102065208,0.2719875385754327,0.26879628560841273,-0.20008988762063928,-0.014967354565420192,0.061457440600186035,4.390412952335551,-0.08381924775654083,1.402679310337421
-0.05486717022657091,-0.4840435796013008,-0.8339887673164796,-0.7952580218737436,-0.5366742872895385,0.14192165767534248,-0.8971029409512288,-0.8601284034979971,0.040505978493022274,0.288996493808657,0.2965608303865029,0.004061739954671292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8154087194227095,0.559044196036465,1.667706820558076,0.00407,2.838433147829983,-47.768991546407214,1.4192165739149916,-2.869656194783327e-07,-0.06735277861286378,-0.016340158008402113,0.19019905490511013,-0.14354836590981707,-0.004853733078018794,0.34994518771517885,2.838433147829983,-93.3561609089492,-6.294910380991537e-06,0.026558101479063297,0.029445799476938726,-0.015856419820681728,-0.002222448417170473,-0.0077868397505101395,0.047192811531433274,0.2597737430996051,-0.1398868973553675,-0.019606658825015805,-0.0686962672041232,0.41633963134592256,-0.1550969873439365,-0.021738517138708103,-0.07616570448386428,0.46160879792477616,0.011706085762772305,0.04101486146368645,-0.24857409283615894,0.005748675613491492,-0.034840342613327455,-0.1220708488380816,0.003010406368671509,-2.9028401015653555,0.2342981869532408,-0.7255803358203524,0.28801929063773407,-0.6223639098541612,0.08351897343369712,-1.2413407230932758,0.001640734293677183,-3.2063056986523164,0.020141756917317098,-1.9524800801385858,0.7398208705040134,-0.15067359448665388,47.768991546407214,-1.857026983376362,-0.047092943719798795,0.0037691697866186276,0.030344114334236078,-21.416267191349295,-93.3561609089492,-0.0001253916786404983,-0.06069049286670007
-0.05486717022657091,-0.4840435796013008,-0.8339887673164796,-0.7952580218737436,-0.5366742872895385,0.14192165767534248,-0.8971029409512288,-0.8601284034979971,0.30091484068603186,0.288996493808657,0.2965608303865029,0.008315331603713743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8154087194227095,0.559044196036465,1.667706820558076,0.00835,2.838433147829983,-47.768991546407214,1.4192165739149916,-2.869656194783327e-07,-0.06735277861286378,-0.033452124905406035,0.19019905490511013,-0.14354836590981707,-0.004853733078018794,0.34994518771517885,2.838433147829983,-12.566620660605755,-6.294910380991537e-06,0.026558101479063297,0.029445799476938726,-0.015856419820681728,-0.016510345787621974,-0.0077868397505101395,0.047192811531433274,0.2597737430996051,-0.1398868973553675,-0.145655896640822,-0.0686962672041232,0.41633963134592256,-0.1550969873439365,-0.16149325766002115,-0.07616570448386428,0.46160879792477616,0.08696333389325381,0.04101486146368645,-0.24857409283615894,0.042706333009273234,-0.2588254015081307,-0.1220708488380816,0.003010406368671509,-2.9028401015653555,0.2342981869532408,-0.7255803358203524,0.28801929063773407,-0.6223639098541612,0.08351897343369712,-1.2413407230932758,0.09054974134509994,-1.2009279755719096,0.020141756917317098,-1.9524800801385858,0.7398208705040134,-0.15067359448665388,47.768991546407214,-1.857026983376362,-0.34984874292866835,0.0037691697866186276,0.06212149860061544,-10.461075036364385,-12.566620660605755,-0.006920184524380379,-0.06069049286670007
